A,B
6.983011,175
6.998815,175
7.013982,175
7.028757,175
7.043228,175
7.058702,175
7.074118,175
7.088309,175
7.103174,175
7.119287,175
7.135654,175
7.150281,175
7.165177,175
7.180178,175
7.195837,175
7.210839,175
7.225538,175
7.24155,175
7.256591,175
7.271208,175
7.288043,175
7.302584,175
7.317962,175
7.333101,175
7.347261,175
7.363462,175
7.378461,175
7.393902,175
7.409422,175
7.424893,175
7.439348,175
7.45465,175
7.469957,175
7.48613,175
7.501058,175
7.515853,175
7.530632,175
7.545581,175
7.561058,175
7.576074,175
7.591191,175
7.606731,175
7.621765,175
7.636472,175
7.651292,175
7.667168,175
7.683835,175
7.698837,175
7.713191,175
7.72866,175
7.744443,175
7.760656,175
7.775424,175
7.790719,175
7.805984,175
7.820422,175
7.835643,175
7.850383,175
7.865801,175
7.880714,175
7.89515,175
7.910275,175
7.926405,175
7.941537,175
7.957792,175
7.97245,175
7.987686,175
8.002225,175
8.017231,175
8.033001,175
8.047782,175
8.062896,175
8.07813,175
8.092227,175
8.108808,175
8.12358,175
8.138241,175
8.153289,175
8.168904,175
8.184583,175
8.200049,175
8.21423,175
8.229774,175
8.244189,175
8.260427,175
8.275861,175
8.290451,175
8.306522,175
8.321874,175
8.337034,175
8.352718,175
8.367577,175
8.38322,175
8.399089,175
8.414785,175
8.43189,175
8.447036,175
8.461339,175
8.47643,175
8.492159,175
8.507191,175
8.523059,175
8.541075,175
8.557076,175
8.572076,175
8.588079,175
8.603075,175
8.618089,175
8.634607,175
8.651026,175
8.666027,175
8.681026,175
8.69577,175
8.711982,175
8.726281,175
8.745018,175
8.760649,175
8.774328,175
8.790548,175
8.805858,175
8.820253,175
8.836811,175
8.851259,175
8.866612,175
8.881993,175
8.896798,175
8.912156,175
8.927889,175
8.943027,175
8.95846,175
8.973984,175
8.988986,175
9.00496,175
9.020364,175
9.035891,175
9.051006,175
9.066525,175
9.081766,175
9.09715,175
9.112515,175
9.128016,175
9.142742,175
9.158741,175
9.173622,175
9.188534,175
9.203534,175
9.218543,175
9.234181,175
9.249829,175
9.264516,175
9.280076,175
9.295076,175
9.309706,175
9.324841,175
9.340814,175
9.355555,175
9.371571,175
